Mexico, Dummy Account 1, PLATINUM, 1000.00, user1@wizeline.com
Brasil, Dummy Account 2, NOMINA, 2000.00, user2@wizeline.com
USA, Dummy Account 3, AHORRO, 3000.00, user3@wizeline.com
Argentina, Dummy Account 4, PLATINUM, 4000.00, user4@wizeline.com
Francia, Dummy Account 5, NOMINA, 5000.00, user5@wizeline.com
Canada, Dummy Account 6, AHORRO, 6000.00, user6@wizeline.com
Portugal, Dummy Account 7, PLATINUM, 7000.00, user7@wizeline.com
Japon, Dummy Account 8, NOMINA, 8000.00, user8@wizeline.com
Mexico, Dummy Account 9, AHORRO, 9000.00, user9@wizeline.com
China, Dummy Account 10, PLATINUM, 10000.10, user10@wizeline.com
Colombia, Dummy Account 11, NOMINA, 11000.20, user11@wizeline.com
Peru, Dummy Account 12, AHORRO, 12000.30, user12@wizeline.com
